ASN,Entity
3223,"VOXILITY, RO"
3561,"CENTURYLINK-LEGACY-SAVVIS - Savvis, US"
3842,"RAMNODE - RamNode LLC, US"
4250,"ALENT-ASN-1 - Alentus Corporation, US"
4323,"TWTC - tw telecom holdings, inc., US"
4694,"IDC Yahoo Japan Corporation, JP"
5577,"ROOT, LU"
6724,"STRATO STRATO AG, DE"
6870,"H1ASN, RU"
6939,"HURRICANE - Hurricane Electric, Inc., US"
7203,"LEASEWEB-USA-SFO-12 - Leaseweb USA, Inc., US"
7489,"HOSTUS-GLOBAL-AS HostUS, HK"
7506,"INTERQ GMO Internet,Inc, JP"
7850,"CITYLINKFIBER - iHighway.net, Inc., US"
7979,"SERVERS - Servers.com, Inc., US"
8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US"
8100,"ASN-QUADRANET-GLOBAL - QuadraNet, Inc, US"
8455,"ATOM86-AS ATOM86, NL"
8560,"ONEANDONE-AS Brauerstrasse 48, DE"
8972,"PLUSSERVER-AS, DE"
9009,"M247, GB"
9370,"SAKURA-B SAKURA Internet Inc., JP"
10297,"ENET-2 - eNET Inc., US"
10439,"CARINET - CariNet, Inc., US"
10929,"NETELLIGENT - Netelligent Hosting Services Inc., CA"
11588,"HIGHWINDS - Highwinds Network Group, Inc., US"
11831,"ESECUREDATA - eSecureData, CA"
11878,"TZULO - tzulo, inc., US"
12586,"ASGHOSTNET, DE"
12876,"AS12876, FR"
12989,"HWNG, NL"
13213,"UK2NET-AS, GB"
13739,"DATACENTER-IP - Datacenter IP, LLC, US"
13926,"RBLHST-NY - Strong Technology, LLC., US"
14061,"DIGITALOCEAN-ASN - Digital Ocean, Inc., US"
14127,"ILAND - Iland Internet Solutions Corporation, US"
14618,"AMAZON-AES - Amazon.com, Inc., US"
15003,"NOBIS-TECH - Nobis Technology Group, LLC, US"
15083,"INFOLINK-MIA-US - Infolink Global Corporation, US"
15169,"GOOGLE - Google Inc., US"
15395,"RACKSPACE-LON, GB"
15497,"COLOCALL Internet Data Center ""ColoCALL"", UA"
15510,"CWCS-PS, GB"
15626,"ITLAS, UA"
